item_id,confirmed,confirmation_source,description
bottom_dbr_group_exists,True,user_manual_gui_report,H1J4_bottom_DBR_QWinteger453_10pair group exists
bottom_dbr_group_layer_count,True,user_manual_gui_report,group contains 20 layers
bottom_dbr_layer_order,True,user_manual_gui_report,TiO2 then SiO2 repeated 10 times
tio2_thickness,True,user_manual_gui_report,TiO2 layers are 45 nm
sio2_thickness,True,user_manual_gui_report,SiO2 layers are 79 nm
bottom_dbr_y_range,True,user_manual_gui_report,bottom DBR y range is about -2190 nm to -950 nm
mesh_order,True,user_manual_gui_report,all bottom DBR layers have mesh order 1 and DBR-over-GaN priority appears correct
source_position,True,user_manual_gui_report,"source_1 is x=0 nm, y=-800 nm, z=0 nm"
source_wavelength,True,user_manual_gui_report,source_1 wavelength is 453 nm
source_orientation,True,user_manual_gui_report,"source_1 x-dipole theta=90 deg, phi=0 deg"
source_enabled,True,user_manual_gui_report,source_1 enabled=true
planesource_disabled,True,user_manual_gui_report,PlaneSource source disabled=true
fdtd_y_range,True,user_manual_gui_report,FDTD y range is about -2800 to +1400 nm
monitor_position,True,user_manual_gui_report,monitor y about 1100 nm on output side of top MDC
monitor_not_in_stack,True,user_manual_gui_report,monitor is not inside TiO2/SiO2 layer stack
monitor_pml_spacing,True,user_manual_gui_report,monitor spacing from upper PML is reasonable
farfield_projection,True,user_manual_gui_report,projection direction = auto
farfield_material_index,True,user_manual_gui_report,material index = auto
farfield_filter,True,user_manual_gui_report,far field filter = 1
farfield_2d_resolution,True,user_manual_gui_report,2D resolution = 1001
farfield_3d_resolution,True,user_manual_gui_report,3D resolution = 1001
farfield_periodic,True,user_manual_gui_report,Assume structure is periodic unchecked
farfield_near_mesh,True,user_manual_gui_report,override near field mesh unchecked
no_simulation,True,user_manual_gui_report,no simulation was run during GUI inspection
not_overwritten,True,user_manual_gui_report,derived FSP was not accidentally overwritten after inspection
