candidate_id,order_from_output_side,stack_region,material_or_role,nominal_thickness_nm,mapping_note
R2_1_00227,1,air_output_side,air,semi-infinite,+y / physical +z output side
R2_1_00227,2,top_DBR,SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm,912,top_pair_count=6
R2_1_00227,3,top_termination,none,0,none for all R2-2A primary candidates
R2_1_00227,4,GaN_cavity_or_effective_spacer,GaN cavity / effective optical spacer,290.0,R2 TMM cavity_span_nm; exact FDTD mapping audited in r2_2b_mapping_options.md
R2_1_00227,5,MQW_dipole_plane,center x/y dipole,0,place near cavity center for smoke run; keep away from DBR interfaces
R2_1_00227,6,bottom_DBR,TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm,912,bottom_pair_count=6
R2_1_00227,7,substrate_or_bottom_boundary_side,lower boundary / substrate side,simulation dependent,keep PML spacing outside stack
R2_1_00223,1,air_output_side,air,semi-infinite,+y / physical +z output side
R2_1_00223,2,top_DBR,SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm,912,top_pair_count=6
R2_1_00223,3,top_termination,none,0,none for all R2-2A primary candidates
R2_1_00223,4,GaN_cavity_or_effective_spacer,GaN cavity / effective optical spacer,280.0,R2 TMM cavity_span_nm; exact FDTD mapping audited in r2_2b_mapping_options.md
R2_1_00223,5,MQW_dipole_plane,center x/y dipole,0,place near cavity center for smoke run; keep away from DBR interfaces
R2_1_00223,6,bottom_DBR,TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm,912,bottom_pair_count=6
R2_1_00223,7,substrate_or_bottom_boundary_side,lower boundary / substrate side,simulation dependent,keep PML spacing outside stack
R2_1_04067,1,air_output_side,air,semi-infinite,+y / physical +z output side
R2_1_04067,2,top_DBR,SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm,1216,top_pair_count=8
R2_1_04067,3,top_termination,none,0,none for all R2-2A primary candidates
R2_1_04067,4,GaN_cavity_or_effective_spacer,GaN cavity / effective optical spacer,290.0,R2 TMM cavity_span_nm; exact FDTD mapping audited in r2_2b_mapping_options.md
R2_1_04067,5,MQW_dipole_plane,center x/y dipole,0,place near cavity center for smoke run; keep away from DBR interfaces
R2_1_04067,6,bottom_DBR,TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm / TiO2 52 nm / SiO2 100 nm,608,bottom_pair_count=4
R2_1_04067,7,substrate_or_bottom_boundary_side,lower boundary / substrate side,simulation dependent,keep PML spacing outside stack
