candidate_id,round,split,category,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,quarantine_status
LPML_R1_BOUNDARY_FAILURE_225,ROUND1,train,BOUNDARY_FAILURE,6576c3943bc2e4f4d2cc6a2066a4137dc5d0df6c33d7c13ebc2ca4338b4f5713,0cd1c32926e43d9204b85b21a5732ebf1f39a8f4c3d258097b487dc88d1c496d,6d68795f9f4926f1c4f987ffdcd87ecd2fda31ce283750334ded296d1d6c78c5,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_226,ROUND1,train,BOUNDARY_FAILURE,b5b20f15f6a74b38854e2d73a42cd4061159d215cc1d90b460d814d45c6bd65c,e5082791f390755938633d7e6b5eea9b309dc01b37828f0a752d702fcdf71b20,6439803a75df5ef8954c3f13a0c6be9990d1217268570f4b5972e47bab08eec6,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_227,ROUND1,test,BOUNDARY_FAILURE,b44e2e0ff81a21c3bedf75e31989430a2c54b084a6df4e0c4b6c058ac638efec,586dcced046467d6e7c5aef72aefd5cf722376f040cdeb6afafd700e5521315b,6da1e321f6809512ba286a0579aadf98d1bdb93210989df43ce3bb3c14e8e7f5,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_228,ROUND1,train,BOUNDARY_FAILURE,3ab23bc3ce14330341c21356d86bd124aed34faf0de012e6639dbaa17febfa06,cdb64d93e05fbf1f958283f7907e7b569c81f2cab523ebcc3d85aed70ad907e9,e4e637420b6c0ce1d95563387838e1dab1d839ee7ea14ff2a2616056bc4dae38,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_229,ROUND1,train,BOUNDARY_FAILURE,daaa21cb0e16fce064dfe85997269e30a715612bb14a556ae0bc3b633f1648f2,ef0a414b98dd78cb9cbcdbd8bb48b70b24e7d614c6ed6ca23533f3ef6c7cfbf8,b64cfa3a2e0bb3ae2b51165e2f9df9d0f4632c511d7b81cdb26734cb4942cb89,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_230,ROUND1,train,BOUNDARY_FAILURE,b0bf5fa6a2c1ad3346a7f41506acaae8277abfcbc56ae5d6c74402af116b7afc,62e19ee272adf77b04ac8335f8f27c2a052d98d8050de813bd96785315ce4fd1,7ea86d8b619f98cdb466c35a599a777f00cfa6fe891c192e378ec5bc1ed4a105,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_231,ROUND1,test,BOUNDARY_FAILURE,d263ebedbe52165267db3dd64cac3a4818d7f11dfd42932175eb056037083849,4121b08c6860a3cd0d9d67247f90fea3d9b4391fb1bd221a37fa218f623d78b3,b8c135ea1483ff6b2de3815340c916eacaecdb9ae12aeefd9f4bd9fa90beac0c,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_232,ROUND1,test,BOUNDARY_FAILURE,ef8d1b709b73e3bed6c8be5e3c73e720db80164b2a830819e7222c994ff18868,26968e81f23ea01bca6fd821d4d7993e5e9e3256d66f319de4467c671ed39e01,5888e99ef6c81430f1697a6701fdbf4b0f9786f5828a5ae451b825895711ad25,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_233,ROUND1,train,BOUNDARY_FAILURE,01dfa5b2f84df17d0b0e78ec729d03e58a73016f2e96ab1e77ddaabcf8e18694,a52934cc9180fdea64b102a2c27adb69577fea8bc3e482da7ef58e8bbee93ee7,87ff4cad4f955c78c13bf32f037257fd7e5eee8670c2a98c0624aa06fa7b3f12,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_234,ROUND1,train,BOUNDARY_FAILURE,0951915e2a8a5bcd2014cd2461166ac6128f8d6a143719b628cf3b20d3eb7c1b,523ac948f0a357fa4cf492dd177a0275018bd64a4ef3377347af0511b2b273ad,16d0bfcfa06ea6a6649f534f4507cc9bf86245a1f9f74e89afbebbe19e18441a,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_235,ROUND1,train,BOUNDARY_FAILURE,b54569a65efabdab1b75766e1fcc86c53b56301fd0817232509195276121dd33,c4c0ecdb6ae293f55be6e7f305e197661de6c8c10f81005ebe685dfd612a356e,50d94708c6b8ecf207365b02effbe0a488788eeb67dab000819fe4333e99607d,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_236,ROUND1,validation,BOUNDARY_FAILURE,f0d39119f08f51014f495d303b9b34de8fdb2c74f0bfcf00bcf51b86574c2b4d,db5b8c598fafbd343a145f9b208d221c93f2f97bd62b33ddf8b3053929a90430,1c32439ce5269c395b16193f0582b7867a5bbdf4606c5281fe100450e1f1879e,NOT_QUARANTINED
LPML_R1_BOUNDARY_FAILURE_237,ROUND1,test,BOUNDARY_FAILURE,2ec484e262b6f129dc2ac1b6fe766a58b3ae83824b880dea571b05d73e0b4789,748839a56a512c659b3656ef5bdd01fef44edfc6389d4fadb3ce1f18e350eeda,1bf20646560db78785f95d4f2e5c48576c28072ab04bb93604ebdf582ea2dd24,NOT_QUARANTINED
