canonical_label_name,original_field_name,physical_meaning,unit,source_table,source_script_or_report,extraction_or_derivation,valid_when,missing_value_meaning,fidelity_level,sample_role,future_training_role,definition_status,notes
spectral_peak_nm,spectral_peak_nm,spectral peak wavelength,nm,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
spectral_FWHM_nm,spectral_FWHM_nm,normal-incidence pure-film spectral FWHM,nm,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved; no boundary-clipped values imputed,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
T448,T448,TMM transmission at 448 nm,fraction,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
T450,T450,TMM transmission at 450 nm,fraction,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
T453,T453,TMM transmission at 453 nm,fraction,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
normal_to_40_60_ratio,normal_to_40_60_ratio,source TMM normal-to-large-angle ratio,ratio,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,threshold/formula not redefined in this view,TMM,canonical_tmm_sweep,label view only; role-specific,source_field_preserved,TMM plane-wave labels must not be called dipole far-field labels.
FAB_pass,FAB_pass,source FAB gate label,bool,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,threshold not redefined in this view,TMM,canonical_tmm_sweep,label view only; role-specific,source_field_preserved,TMM plane-wave labels must not be called dipole far-field labels.
PERF_pass,PERF_pass,source PERF gate label,bool,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,threshold not redefined in this view,TMM,canonical_tmm_sweep,label view only; role-specific,source_field_preserved,TMM plane-wave labels must not be called dipole far-field labels.
combined_pass,combined_pass,source combined gate label,bool,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,source field preserved,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field,TMM plane-wave labels must not be called dipole far-field labels.
tmm_angular_FWHM_450_deg,tmm_angular_FWHM_450_deg,TMM plane-wave angular half-power width at 450 nm,deg,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means not computed; 15 valid,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field_sparse,TMM plane-wave labels must not be called dipole far-field labels.
