path,exists,sha256,rows_total,rows_450_complete_non054,rows_054_excluded_450,rows_054_excluded_all_wavelengths,classification,reason,material,wavelength_nm,H_nm,period_nm,reference_plane,monitor_extraction,weighted_G0,endpoint_dedup,periodic_reclosure,normalization,jones_basis,xy_completeness,geometry_convention,phase_reference
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/clean_v3/lp_ml_dataset_v1_merged_clean_v3_round3_377_geometry_3393_rows.csv,True,197372f2a5c49a16d6667c37554cfe4b811eca3955b28cd5ac3e70b4c8d6baa9,3393,375,2,18,FORMAL_CONTRACT_EXACT_COMPATIBLE,"clean-v3 admitted formal weighted-G0, 450nm rows with complete x/y and frozen Native-M1/H500/period metadata",APCD_TIO2_NATIVE_M1,450,500,432x432,transmission-side z=1000 nm,field_monitor full-period,YES,YES,YES,"sqrt(T)/norm(weighted Ex,Ey)","linear_xy [[txx,txy],[tyx,tyy]]",complete,native exact geometry/hash,P_APCD arg(txx)
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/staging/lp_ml_inverse_stage1_fdt_validation_v1/candidate_wavelength_jones_v1.csv,True,c1ae7a1fd29adf5e3d35c29d1c1137607613b44a014aabb2b168b64c10f4a284,35,35,0,0,FORMAL_CONTRACT_NUMERICALLY_TRANSFORMABLE,formal weighted-G0 Jones fields and 450nm complete x/y; package omits some immutable setup metadata,PACKAGE_METADATA_REQUIRED,450,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,FORMAL_WEIGHTED_G0_DECLARED,YES,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,FORMAL_DECLARED; setup fields absent,linear_xy,complete,exact hash present,P_APCD arg(txx)
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/canonical_v1_21/candidate_wavelength_jones_v1_17.csv,True,519be5046cb5a7ce51582b7448c45e8f3b2f495884a05bc94a117a1ff32a5b67,206,0,0,0,HISTORICAL_REFERENCE_ONLY,canonical rows are retained for comparison only because their stored phase reference is not uniquely transformable to the frozen P_APCD gauge,PACKAGE_METADATA_REQUIRED,450,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,HISTORICAL_PACKAGE,DECLARED,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,PACKAGE_METADATA_REQUIRED,linear_xy,checkpoint rows,hash only,NOT_UNIQUELY_TRANSFORMABLE
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/staging/b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22/candidate_wavelength_jones_v1_22.csv,True,0d5658c503b55dff612c110a9819391d408059a2594ddc89715cc9036c78d6ff,4,0,0,0,FORMAL_CONTRACT_EXACT_COMPATIBLE,"D6 formal_full_dimer_450 rows with hashes, weighted-G0 and checkpoint provenance",APCD_TIO2_NATIVE_M1,450,500,432x432,transmission-side z=1000 nm,field_monitor full-period,YES,YES,YES,"sqrt(T)/norm(weighted Ex,Ey)",linear_xy,complete,native exact geometry/hash,P_APCD arg(txx)
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/staging/b120_j2lm06_stage_d5_perturbation_data_finalized_lp_ml_schema_v1_21/candidate_wavelength_jones_v1_21.csv,True,bfebc7e225247d87e0bb8d66ed5d76a37b57e16c2080dad5062f17590a57cc28,6,0,0,0,HISTORICAL_REFERENCE_ONLY,derived D5 table lacks a complete immutable setup contract for independent reachability admission,UNKNOWN,450,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DERIVED_TABLE_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,linear_xy fields,derived,hash fields incomplete,UNKNOWN
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/staging/legacy_h500_formal_replay_450_v1/candidate_wavelength_jones_v1.csv,True,f867ecda73880994f2086527f7196d66023f575833055aff543828601180c2ec,6,0,0,0,HISTORICAL_REFERENCE_ONLY,legacy replay requires historical provenance and is not used to override the frozen hard gate,LEGACY/UNKNOWN,450,500,UNKNOWN,UNKNOWN,LEGACY,HISTORICAL,UNKNOWN,UNKNOWN,LEGACY/UNKNOWN,linear_xy,historical,legacy,HISTORICAL_REFERENCE_ONLY
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/analysis/b120_j2lm06_original22_complete_jones_manifest_after_regeneration_v1.csv,True,5874e6059d709189918eaac6ade589e0b1a151e1b2decd35131a667bea805f89,22,0,0,0,HISTORICAL_REFERENCE_ONLY,original22 full-Jones reconstruction permanently unavailable; HARD_GATE_FROZEN_TXX_REPRODUCTION_FAILURE preserved,MIXED/HISTORICAL,450,UNKNOWN,UNKNOWN,UNKNOWN,HISTORICAL,NOT_RECONSTRUCTABLE,UNKNOWN,UNKNOWN,UNKNOWN,linear_xy,historical hard gate,original22,HISTORICAL_HARD_GATE
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/analysis/b120_j2lm06_bounded6_full_jones_retrospective_candidate_residuals_v1.csv,True,d31c7951fc5ea2559637e1319dce4a02b401d0749869b76f06e00c2865f0414a,6,0,0,0,HISTORICAL_REFERENCE_ONLY,retrospective bounded6 evidence is not historical primary validation,MIXED/HISTORICAL,450,UNKNOWN,UNKNOWN,UNKNOWN,RETROSPECTIVE,RETROSPECTIVE,UNKNOWN,UNKNOWN,UNKNOWN,linear_xy,retrospective,bounded6,NOT_PRIMARY_VALIDATION
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/analysis/b120_j2lm06_stage_d7_d8_joint_candidate_metrics_v1.csv,True,63974d330e7bb8290208ad18286b7b4b450a2cf0358a4054a759c82d3341d562,16,0,0,0,FORMAL_CONTRACT_NUMERICALLY_TRANSFORMABLE,delta artifacts may be numeric references only; no admission without complete immutable x/y provenance,PACKAGE_DEPENDENT,450,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,DELTA_ONLY,DELTA_ONLY,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,linear_xy,delta,hash-dependent,REFERENCE_ONLY
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/analysis/stage11_12_13_lp_compatibility_inventory_v1.csv,False,,0,0,0,0,INCOMPATIBLE_EXCLUDE,different stage/configuration or no unique frozen weighted-G0 contract,DIFFERENT_STAGE,VARIES,VARIES,VARIES,VARIES,VARIES,NOT_UNIQUE,UNKNOWN,UNKNOWN,VARIES,VARIES,VARIES,VARIES,INCOMPATIBLE
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs/lp_ml_dataset_v1/analysis/lp_ml_round3_recalibrated_508_candidate_table_v1.csv,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,508,0,0,0,INCOMPATIBLE_EXCLUDE,not admitted,NONE,450 target metadata,prediction table,prediction table,NONE,NONE,NONE,NONE,NONE,NONE,predicted fields absent,NONE,surrogate coordinates,NOT_PHYSICS
