candidate_id,split,group_id,category,canonical_hash,symmetry_hash
LPML_R1_BOUNDARY_FAILURE_225,train,LPML_R1_BOUNDARY_FAILURE_225,BOUNDARY_FAILURE,0cd1c32926e43d9204b85b21a5732ebf1f39a8f4c3d258097b487dc88d1c496d,6d68795f9f4926f1c4f987ffdcd87ecd2fda31ce283750334ded296d1d6c78c5
LPML_R1_BOUNDARY_FAILURE_226,train,LPML_R1_BOUNDARY_FAILURE_226,BOUNDARY_FAILURE,e5082791f390755938633d7e6b5eea9b309dc01b37828f0a752d702fcdf71b20,6439803a75df5ef8954c3f13a0c6be9990d1217268570f4b5972e47bab08eec6
LPML_R1_GLOBAL_SOBOL_001,train,LPML_R1_GLOBAL_SOBOL_001,GLOBAL_SOBOL,c9ea3f67cfd2d42f721287e1c60edd80c1f99b386d30f7ebc73ae67b8f450ae8,ba93c1845976709365f4e1fcfe86a54749edd945ee114e70bf429dc7e31409be
LPML_R1_GLOBAL_SOBOL_002,train,LPML_R1_GLOBAL_SOBOL_002,GLOBAL_SOBOL,9e63a3bfc846a4906b9be44e19f969aa9743c172d960541ef358880fbbae9a97,94be949f009c4a48941dfc040172672e4309fb6d654f9f9c2e46279c5f891697
LPML_R1_GLOBAL_SOBOL_003,train,LPML_R1_GLOBAL_SOBOL_003,GLOBAL_SOBOL,eadb7f274198c3c2e39bcd1af335f0f54b7dc71f95512c4d344c6d2509af4a4c,9286c83de1924d1bd39e1e4aa4955b7b227445da78bfab1a8a17a6f77d88ae10
LPML_R1_GLOBAL_SOBOL_004,train,LPML_R1_GLOBAL_SOBOL_004,GLOBAL_SOBOL,48cdc0c69ec503dbd2047eeb147deb37c5f1ac50896af776ec21450642777f7f,50651c65e00a06a3b15f9be344b1dec6052fa61814721efa7cf176a3f0006fa7
LPML_R1_GLOBAL_SOBOL_005,val,LPML_R1_GLOBAL_SOBOL_005,GLOBAL_SOBOL,506f4b861817fc45f8e993ce3465ad309079a2b06916d2e412c41cf3d2515980,9a6cedef3e27184d5b5b2ae275615464ce83a65a151621768333456d2316e72f
LPML_R1_GLOBAL_SOBOL_006,train,LPML_R1_GLOBAL_SOBOL_006,GLOBAL_SOBOL,ec042ed231c0f19a47ad74e43c370e82bf02780ae296ea59612adef616c61af5,0375882bde21c85ebfec1d47ee8ac96f95e10fae72846bf51f948cca9eb75f04
LPML_R1_GLOBAL_SOBOL_007,train,LPML_R1_GLOBAL_SOBOL_007,GLOBAL_SOBOL,5b7bd1ab0676f3180308865a3212b56a8f3b6ac4a2ebf0f3ee5102413c5f1f1b,01ea20cc496de0e2645cf26bbc815a5972ce394f78770bb0a14ca7184bb8b2a9
LPML_R1_GLOBAL_SOBOL_008,test,LPML_R1_GLOBAL_SOBOL_008,GLOBAL_SOBOL,b865047718e85946e7593183c64ec655ebf749c15df4245d7f11a12f9336293f,645de300279a744bdd8f5b28103d7279a5103a9e13509b7ee5d695e9057b5614
LPML_R1_GLOBAL_SOBOL_009,train,LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,cbe54cbfc98130732bd9900e69e149324ac4686f8d538edcce716205e39812e3,fcbc0688f765a0ecd75b02308e64646c88352c1cc8143af2e47f7f8d911fc764
LPML_R1_GLOBAL_SOBOL_010,test,LPML_R1_GLOBAL_SOBOL_010,GLOBAL_SOBOL,44869979dd1413523778b1245572ad3a379207be69b13197b956d5589ae88c91,64a8f250507600437dfbed5d1a29a28ad576bad29b85ec34857302c56f169d3f
LPML_R1_GLOBAL_SOBOL_011,test,LPML_R1_GLOBAL_SOBOL_011,GLOBAL_SOBOL,0ebe03e0802eb051e1571fbace9c4305c6de9d6d838edd1bef17f682a883e43c,8e5e8fa1197e4491c72e65da1e6701fa5bd228126254230f1c15aa4ba54cce6c
LPML_R1_GLOBAL_SOBOL_012,train,LPML_R1_GLOBAL_SOBOL_012,GLOBAL_SOBOL,ab7e217a47c486bdefd216712be97a15487974bd2d59a4723c0b99a9d6ed2aff,9319cdbc8e44e98c17e5ba11c8057cf4989d7f6db69f461730423d1159ca370e
LPML_R1_GLOBAL_SOBOL_013,train,LPML_R1_GLOBAL_SOBOL_013,GLOBAL_SOBOL,d2c905ab1062ca5a47546385cd2e7df731bbb74595df3c41dd93a44e3029e2ca,be25be85306b89f675e4eb2969b66571fdad2668f711fa559d77e1e62770f661
LPML_R1_GLOBAL_SOBOL_014,val,LPML_R1_GLOBAL_SOBOL_014,GLOBAL_SOBOL,6e9135162517b1413a1712ac5f9aab1ced9cf0878cc76a69cf1bbf4ee14f11de,833bb5a0d0b1610b6f3e4ddd83ecb13abc29430672a696d47e78446de162e3e3
LPML_R1_GLOBAL_SOBOL_015,train,LPML_R1_GLOBAL_SOBOL_015,GLOBAL_SOBOL,73cde97af5c0e9f99752011209b3d9388871502bb1a49cc5b85a4e0c4670f75a,0f30b64df4861c0c4e906a5a13fda7d0e800c81db965cb131c7b7028217f7669
LPML_R1_GLOBAL_SOBOL_016,train,LPML_R1_GLOBAL_SOBOL_016,GLOBAL_SOBOL,56d01b473d6a964b70300f89c46dd3e95f4145e77e2e0679322d4d7585994316,5542ba7915e3ef023b9e3ff3879307bca69b684e4fcf17bba9790dc6cc6a5c5a
