candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score
R2_1_04354,R2D_all_dielectric_highR_mediumR_scan,453,260,10,4,0.722,SiO2_25nm,452.885,4.053343,2.0,8.0,2.0,1.595833,0.611658,0.396291,0.593836,0.704659,0.966574,2.609029,Level A,meets Level B or better constraints,2.328509
R2_1_04243,R2D_all_dielectric_highR_mediumR_scan,453,280,10,0,0.12,none,453.1,5.014721,0.0,8.0,0.0,1.565912,0.556175,0.39039,0.590045,0.732031,0.969986,2.815504,Level A,meets Level B or better constraints,2.32565
R2_1_04658,R2D_all_dielectric_highR_mediumR_scan,453,270,12,4,0.722,SiO2_25nm,453.385,4.017483,2.0,6.0,2.0,1.569543,0.59595,0.452634,0.597099,0.66536,0.962074,2.633683,Level A,meets Level B or better constraints,2.324636
R2_1_04609,R2D_all_dielectric_highR_mediumR_scan,453,300,12,2,0.4727,TiO2_25nm,452.905,4.360571,1.0,6.0,1.0,1.545919,0.577852,0.459007,0.5925,0.665941,0.962141,2.675286,Level A,meets Level B or better constraints,2.324487
R2_1_02238,R2B_Khaidarov_hybrid_scaled_control,453,220,12,4,0.722,SiO2_25nm,452.885,4.075965,2.0,9.0,2.0,1.630203,0.658016,0.372534,0.5782,0.708117,0.967042,2.477451,Level A,meets Level B or better constraints,2.32089
R2_1_04298,R2D_all_dielectric_highR_mediumR_scan,453,270,10,2,0.4727,SiO2_25nm,453.305,4.40285,2.0,9.0,2.0,1.598787,0.578945,0.377097,0.592674,0.735661,0.970279,2.761553,Level A,meets Level B or better constraints,2.318129
R2_1_02144,R2B_Khaidarov_hybrid_scaled_control,453,290,12,0,0.12,TiO2_50nm,452.85,5.049393,0.0,9.0,0.0,1.602268,0.602136,0.371337,0.573398,0.731236,0.970111,2.660974,Level A,meets Level B or better constraints,2.317401
R2_1_04557,R2D_all_dielectric_highR_mediumR_scan,453,320,12,0,0.12,TiO2_25nm,453.625,4.959948,1.0,7.0,1.0,1.556264,0.52307,0.441564,0.618622,0.71124,0.967296,2.975249,Level A,meets Level B or better constraints,2.316958
R2_1_04358,R2D_all_dielectric_highR_mediumR_scan,453,270,10,4,0.722,SiO2_25nm,453.185,4.053343,2.0,8.0,2.0,1.592007,0.609625,0.393827,0.594172,0.706798,0.96682,2.611452,Level A,meets Level B or better constraints,2.31589
R2_1_04290,R2D_all_dielectric_highR_mediumR_scan,453,250,10,2,0.4727,SiO2_25nm,452.705,4.40285,2.0,9.0,2.0,1.596818,0.578574,0.381801,0.593404,0.732048,0.969846,2.759922,Level A,meets Level B or better constraints,2.315563
R2_1_02208,R2B_Khaidarov_hybrid_scaled_control,453,300,12,2,0.4727,TiO2_50nm,453.03,4.429555,1.0,8.0,1.0,1.590054,0.626869,0.384415,0.574688,0.706257,0.966926,2.5365,Level A,meets Level B or better constraints,2.310238
R2_1_04249,R2D_all_dielectric_highR_mediumR_scan,453,300,10,0,0.12,TiO2_25nm,452.825,5.014721,1.0,9.0,1.0,1.576153,0.556036,0.387409,0.590458,0.736055,0.970473,2.834624,Level A,meets Level B or better constraints,2.308771
R2_1_04313,R2D_all_dielectric_highR_mediumR_scan,453,310,10,2,0.4727,TiO2_25nm,453.005,4.40285,1.0,8.0,1.0,1.56363,0.582419,0.401811,0.590463,0.709428,0.967189,2.684719,Level A,meets Level B or better constraints,2.304342
R2_1_02242,R2B_Khaidarov_hybrid_scaled_control,453,230,12,4,0.722,SiO2_25nm,453.185,4.075965,2.0,9.0,2.0,1.623486,0.655436,0.374909,0.578263,0.706145,0.966811,2.476956,Level A,meets Level B or better constraints,2.303035
R2_1_04616,R2D_all_dielectric_highR_mediumR_scan,453,320,12,2,0.4727,TiO2_50nm,452.63,4.360571,1.0,6.0,1.0,1.543526,0.567189,0.45759,0.598352,0.672615,0.962897,2.721362,Level A,meets Level B or better constraints,2.302863
R2_1_04238,R2D_all_dielectric_highR_mediumR_scan,453,270,10,0,0.12,SiO2_25nm,453.425,5.014721,2.0,10.0,2.0,1.600909,0.557586,0.360917,0.584476,0.758765,0.973331,2.871142,Level A,meets Level B or better constraints,2.301732
R2_1_02174,R2B_Khaidarov_hybrid_scaled_control,453,210,12,2,0.4727,SiO2_25nm,452.705,4.429555,2.0,10.0,2.0,1.62951,0.628106,0.355108,0.573063,0.736049,0.970534,2.594324,Level A,meets Level B or better constraints,2.301414
R2_1_04547,R2D_all_dielectric_highR_mediumR_scan,453,290,12,0,0.12,none,453.6,4.959948,0.0,6.0,0.0,1.531134,0.524716,0.445561,0.613566,0.702866,0.966343,2.918026,Level A,meets Level B or better constraints,2.297553
R2_1_02182,R2B_Khaidarov_hybrid_scaled_control,453,230,12,2,0.4727,SiO2_25nm,453.305,4.429555,2.0,10.0,2.0,1.627018,0.626066,0.359693,0.5745,0.732876,0.970136,2.598797,Level A,meets Level B or better constraints,2.297469
R2_1_02137,R2B_Khaidarov_hybrid_scaled_control,453,270,12,0,0.12,TiO2_25nm,453.125,5.049393,0.0,9.0,0.0,1.590118,0.600995,0.374101,0.573245,0.727457,0.969642,2.64581,Level A,meets Level B or better constraints,2.296742
R2_1_04239,R2D_all_dielectric_highR_mediumR_scan,453,270,10,0,0.12,none,452.8,5.014721,0.0,8.0,0.0,1.553287,0.553812,0.391786,0.589711,0.729949,0.969735,2.804716,Level A,meets Level B or better constraints,2.292761
R2_1_02127,R2B_Khaidarov_hybrid_scaled_control,453,240,12,0,0.12,none,453.1,5.049393,0.0,9.0,0.0,1.583898,0.600612,0.375401,0.573055,0.725503,0.969401,2.637139,Level A,meets Level B or better constraints,2.287183
R2_1_04541,R2D_all_dielectric_highR_mediumR_scan,453,280,12,0,0.12,TiO2_25nm,452.425,4.959948,0.0,6.0,0.0,1.524832,0.526409,0.446638,0.611628,0.699938,0.96601,2.896668,Level A,meets Level B or better constraints,2.285755
R2_1_04303,R2D_all_dielectric_highR_mediumR_scan,453,280,10,2,0.4727,none,452.98,4.40285,0.0,7.0,0.0,1.538461,0.581738,0.405744,0.58753,0.701994,0.966328,2.644596,Level A,meets Level B or better constraints,2.283184
R2_1_04226,R2D_all_dielectric_highR_mediumR_scan,453,240,10,0,0.12,SiO2_25nm,452.525,5.014721,2.0,10.0,2.0,1.591877,0.553833,0.363184,0.585421,0.757378,0.973148,2.874291,Level A,meets Level B or better constraints,2.282421
R2_1_02123,R2B_Khaidarov_hybrid_scaled_control,453,230,12,0,0.12,none,452.8,5.049393,0.0,9.0,0.0,1.585909,0.599404,0.374101,0.573245,0.727457,0.969642,2.64581,Level A,meets Level B or better constraints,2.282414
R2_1_04418,R2D_all_dielectric_highR_mediumR_scan,453,270,10,6,0.8534,SiO2_25nm,453.065,3.890496,2.0,7.0,2.0,1.570601,0.643756,0.410275,0.584952,0.672622,0.962901,2.439745,Level A,meets Level B or better constraints,2.280946
R2_1_04582,R2D_all_dielectric_highR_mediumR_scan,453,230,12,2,0.4727,SiO2_25nm,452.305,4.360571,2.0,7.0,2.0,1.548629,0.539406,0.435288,0.620596,0.704845,0.966553,2.870988,Level A,meets Level B or better constraints,2.278352
R2_1_04603,R2D_all_dielectric_highR_mediumR_scan,453,280,12,2,0.4727,none,453.18,4.360571,0.0,5.0,0.0,1.511052,0.575876,0.459675,0.586052,0.658902,0.961343,2.623916,Level A,meets Level B or better constraints,2.278227
R2_1_04518,R2D_all_dielectric_highR_mediumR_scan,453,220,12,0,0.12,SiO2_25nm,452.125,4.959948,2.0,8.0,2.0,1.553901,0.502618,0.413061,0.627483,0.740345,0.970629,3.091617,Level A,meets Level B or better constraints,2.277684
R2_1_02133,R2B_Khaidarov_hybrid_scaled_control,453,260,12,0,0.12,TiO2_25nm,452.825,5.049393,0.0,9.0,0.0,1.580349,0.599266,0.375401,0.573055,0.725503,0.969401,2.637139,Level A,meets Level B or better constraints,2.273932
R2_1_04247,R2D_all_dielectric_highR_mediumR_scan,453,290,10,0,0.12,none,453.4,5.014721,0.0,8.0,0.0,1.547217,0.547595,0.388931,0.590293,0.734066,0.970232,2.825478,Level A,meets Level B or better constraints,2.266839
R2_1_02197,R2B_Khaidarov_hybrid_scaled_control,453,270,12,2,0.4727,TiO2_25nm,453.005,4.429555,0.0,8.0,0.0,1.566231,0.625875,0.388109,0.572427,0.699205,0.966097,2.502464,Level A,meets Level B or better constraints,2.266086
R2_1_04257,R2D_all_dielectric_highR_mediumR_scan,453,320,10,0,0.12,TiO2_25nm,453.425,5.014721,1.0,9.0,1.0,1.562359,0.548122,0.384183,0.590536,0.739895,0.970942,2.850384,Level A,meets Level B or better constraints,2.264096
R2_1_04599,R2D_all_dielectric_highR_mediumR_scan,453,270,12,2,0.4727,none,452.88,4.360571,0.0,5.0,0.0,1.499096,0.577386,0.459724,0.582605,0.655242,0.960928,2.59635,Level A,meets Level B or better constraints,2.258806
R2_1_02152,R2B_Khaidarov_hybrid_scaled_control,453,310,12,0,0.12,TiO2_50nm,453.45,5.049393,1.0,9.0,1.0,1.582916,0.59215,0.368362,0.57325,0.73484,0.970562,2.673166,Level A,meets Level B or better constraints,2.258681
R2_1_04256,R2D_all_dielectric_highR_mediumR_scan,453,320,10,0,0.12,TiO2_50nm,452.55,5.014721,1.0,9.0,1.0,1.558596,0.546802,0.384183,0.590536,0.739895,0.970942,2.850384,Level A,meets Level B or better constraints,2.255389
R2_1_02212,R2B_Khaidarov_hybrid_scaled_control,453,310,12,2,0.4727,TiO2_50nm,453.33,4.429555,1.0,8.0,1.0,1.573015,0.617763,0.383035,0.575255,0.708508,0.967192,2.546309,Level A,meets Level B or better constraints,2.255268
R2_1_04317,R2D_all_dielectric_highR_mediumR_scan,453,320,10,2,0.4727,TiO2_25nm,453.305,4.40285,1.0,8.0,1.0,1.550286,0.574962,0.400326,0.591234,0.711798,0.967464,2.69633,Level A,meets Level B or better constraints,2.255111
R2_1_04646,R2D_all_dielectric_highR_mediumR_scan,453,240,12,4,0.722,SiO2_25nm,452.485,4.017483,2.0,6.0,2.0,1.535021,0.584091,0.455225,0.594854,0.662723,0.961775,2.628051,Level A,meets Level B or better constraints,2.254451
R2_1_02187,R2B_Khaidarov_hybrid_scaled_control,453,240,12,2,0.4727,none,452.98,4.429555,0.0,8.0,0.0,1.55731,0.625519,0.389188,0.571486,0.696753,0.96581,2.489628,Level A,meets Level B or better constraints,2.247101
R2_1_04307,R2D_all_dielectric_highR_mediumR_scan,453,290,10,2,0.4727,none,453.28,4.40285,0.0,7.0,0.0,1.530123,0.575486,0.404521,0.588612,0.704527,0.966621,2.658836,Level A,meets Level B or better constraints,2.246759
R2_1_04542,R2D_all_dielectric_highR_mediumR_scan,453,280,12,0,0.12,SiO2_25nm,453.925,4.959948,2.0,8.0,2.0,1.538219,0.497545,0.413061,0.627483,0.740345,0.970629,3.091617,Level A,meets Level B or better constraints,2.246393
R2_1_04617,R2D_all_dielectric_highR_mediumR_scan,453,320,12,2,0.4727,TiO2_25nm,453.505,4.360571,1.0,6.0,1.0,1.517168,0.557503,0.45759,0.598352,0.672615,0.962897,2.721362,Level A,meets Level B or better constraints,2.246332
R2_1_02204,R2B_Khaidarov_hybrid_scaled_control,453,290,12,2,0.4727,TiO2_50nm,452.73,4.429555,0.0,8.0,0.0,1.566452,0.620153,0.385721,0.574028,0.703956,0.966655,2.525914,Level A,meets Level B or better constraints,2.245752
R2_1_04245,R2D_all_dielectric_highR_mediumR_scan,453,290,10,0,0.12,TiO2_25nm,452.525,5.014721,0.0,8.0,0.0,1.536062,0.543647,0.388931,0.590293,0.734066,0.970232,2.825478,Level A,meets Level B or better constraints,2.240978
R2_1_02268,R2B_Khaidarov_hybrid_scaled_control,453,300,12,4,0.722,TiO2_50nm,452.91,4.075965,1.0,7.0,1.0,1.557112,0.655774,0.398332,0.567894,0.673756,0.963074,2.374464,Level A,meets Level B or better constraints,2.23945
R2_1_04414,R2D_all_dielectric_highR_mediumR_scan,453,260,10,6,0.8534,SiO2_25nm,452.765,3.890496,2.0,7.0,2.0,1.553609,0.637752,0.412719,0.583639,0.670169,0.962623,2.436071,Level A,meets Level B or better constraints,2.235965
R2_1_02141,R2B_Khaidarov_hybrid_scaled_control,453,280,12,0,0.12,TiO2_25nm,453.425,5.049393,0.0,9.0,0.0,1.568567,0.591074,0.372746,0.57336,0.729368,0.969879,2.653759,Level A,meets Level B or better constraints,2.233561
R2_1_02272,R2B_Khaidarov_hybrid_scaled_control,453,310,12,4,0.722,TiO2_50nm,453.21,4.075965,1.0,7.0,1.0,1.556706,0.651966,0.397235,0.569366,0.676487,0.963387,2.38771,Level A,meets Level B or better constraints,2.230447
R2_1_04309,R2D_all_dielectric_highR_mediumR_scan,453,300,10,2,0.4727,TiO2_25nm,452.705,4.40285,1.0,8.0,1.0,1.536498,0.57499,0.40321,0.589589,0.707005,0.966908,2.672215,Level A,meets Level B or better constraints,2.228505
R2_1_04714,R2D_all_dielectric_highR_mediumR_scan,453,260,12,6,0.8534,SiO2_25nm,452.965,3.857448,2.0,5.0,2.0,1.511452,0.643916,0.464265,0.54861,0.614879,0.956352,2.34728,Level A,meets Level B or better constraints,2.225488
R2_1_04350,R2D_all_dielectric_highR_mediumR_scan,453,250,10,4,0.722,SiO2_25nm,452.585,4.053343,2.0,8.0,2.0,1.551142,0.595344,0.398652,0.593375,0.702463,0.966322,2.605453,Level A,meets Level B or better constraints,2.22544
R2_1_02140,R2B_Khaidarov_hybrid_scaled_control,453,280,12,0,0.12,TiO2_50nm,452.55,5.049393,0.0,9.0,0.0,1.56484,0.589669,0.372746,0.57336,0.729368,0.969879,2.653759,Level A,meets Level B or better constraints,2.225011
R2_1_02234,R2B_Khaidarov_hybrid_scaled_control,453,210,12,4,0.722,SiO2_25nm,452.585,4.075965,2.0,9.0,2.0,1.587911,0.641074,0.370079,0.578026,0.710038,0.967267,2.476955,Level A,meets Level B or better constraints,2.223248
R2_1_04377,R2D_all_dielectric_highR_mediumR_scan,453,320,10,4,0.722,TiO2_25nm,453.185,4.053343,1.0,7.0,1.0,1.52954,0.608542,0.415772,0.582505,0.678113,0.963541,2.513449,Level A,meets Level B or better constraints,2.222038
R2_1_02201,R2B_Khaidarov_hybrid_scaled_control,453,280,12,2,0.4727,TiO2_25nm,453.305,4.429555,0.0,8.0,0.0,1.554099,0.618039,0.386953,0.573274,0.701606,0.966379,2.514564,Level A,meets Level B or better constraints,2.219659
R2_1_04373,R2D_all_dielectric_highR_mediumR_scan,453,310,10,4,0.722,TiO2_25nm,452.885,4.053343,1.0,7.0,1.0,1.525563,0.610645,0.416914,0.580716,0.675254,0.963215,2.498279,Level A,meets Level B or better constraints,2.21898
R2_1_04605,R2D_all_dielectric_highR_mediumR_scan,453,290,12,2,0.4727,TiO2_25nm,452.605,4.360571,0.0,6.0,0.0,1.498958,0.565593,0.459435,0.589351,0.662468,0.961747,2.650242,Level A,meets Level B or better constraints,2.212824
R2_1_04602,R2D_all_dielectric_highR_mediumR_scan,453,280,12,2,0.4727,SiO2_25nm,453.805,4.360571,2.0,7.0,2.0,1.513267,0.526603,0.432341,0.621557,0.70712,0.966812,2.873638,Level A,meets Level B or better constraints,2.209431
R2_1_02119,R2B_Khaidarov_hybrid_scaled_control,453,220,12,0,0.12,none,452.5,5.049393,0.0,9.0,0.0,1.556778,0.586631,0.372746,0.57336,0.729368,0.969879,2.653759,Level A,meets Level B or better constraints,2.206925
R2_1_04362,R2D_all_dielectric_highR_mediumR_scan,453,280,10,4,0.722,SiO2_25nm,453.485,4.053343,2.0,8.0,2.0,1.540013,0.589429,0.391262,0.594385,0.70888,0.967059,2.612717,Level A,meets Level B or better constraints,2.202096
R2_1_02131,R2B_Khaidarov_hybrid_scaled_control,453,250,12,0,0.12,none,453.4,5.049393,0.0,9.0,0.0,1.550862,0.590185,0.376646,0.572788,0.723503,0.969156,2.627757,Level A,meets Level B or better constraints,2.20154
R2_1_04531,R2D_all_dielectric_highR_mediumR_scan,453,250,12,0,0.12,none,452.4,4.959948,0.0,6.0,0.0,1.482445,0.524548,0.44908,0.605052,0.690731,0.964963,2.826135,Level A,meets Level B or better constraints,2.200341
R2_1_04299,R2D_all_dielectric_highR_mediumR_scan,453,270,10,2,0.4727,none,452.68,4.40285,0.0,7.0,0.0,1.507032,0.573122,0.406877,0.586345,0.699407,0.966029,2.629514,Level A,meets Level B or better constraints,2.198942
R2_1_02183,R2B_Khaidarov_hybrid_scaled_control,453,230,12,2,0.4727,none,452.68,4.429555,0.0,8.0,0.0,1.543736,0.616887,0.388109,0.572427,0.699205,0.966097,2.502464,Level A,meets Level B or better constraints,2.198586
R2_1_04367,R2D_all_dielectric_highR_mediumR_scan,453,290,10,4,0.722,none,453.16,4.053343,0.0,6.0,0.0,1.501841,0.609269,0.418822,0.576764,0.669334,0.962541,2.464989,Level A,meets Level B or better constraints,2.198413
R2_1_04422,R2D_all_dielectric_highR_mediumR_scan,453,280,10,6,0.8534,SiO2_25nm,453.365,3.890496,2.0,7.0,2.0,1.535396,0.628742,0.407678,0.586117,0.675003,0.963171,2.442011,Level A,meets Level B or better constraints,2.19555
R2_1_04286,R2D_all_dielectric_highR_mediumR_scan,453,240,10,2,0.4727,SiO2_25nm,452.405,4.40285,2.0,9.0,2.0,1.53885,0.557303,0.379484,0.593089,0.733878,0.970065,2.761246,Level A,meets Level B or better constraints,2.190896
R2_1_04235,R2D_all_dielectric_highR_mediumR_scan,453,260,10,0,0.12,none,452.5,5.014721,0.0,8.0,0.0,1.510092,0.540646,0.393117,0.589293,0.727821,0.96948,2.793127,Level A,meets Level B or better constraints,2.189538
R2_1_02193,R2B_Khaidarov_hybrid_scaled_control,453,260,12,2,0.4727,TiO2_25nm,452.705,4.429555,0.0,8.0,0.0,1.538364,0.617909,0.389188,0.571486,0.696753,0.96581,2.489628,Level A,meets Level B or better constraints,2.189319
R2_1_04302,R2D_all_dielectric_highR_mediumR_scan,453,280,10,2,0.4727,SiO2_25nm,453.605,4.40285,2.0,9.0,2.0,1.538409,0.557225,0.374643,0.59216,0.737396,0.970488,2.76084,Level A,meets Level B or better constraints,2.189094
R2_1_02246,R2B_Khaidarov_hybrid_scaled_control,453,240,12,4,0.722,SiO2_25nm,453.485,4.075965,2.0,9.0,2.0,1.568362,0.63356,0.3772,0.578214,0.704121,0.966575,2.475473,Level A,meets Level B or better constraints,2.184663
R2_1_04718,R2D_all_dielectric_highR_mediumR_scan,453,270,12,6,0.8534,SiO2_25nm,453.265,3.857448,2.0,5.0,2.0,1.496746,0.635691,0.462335,0.55166,0.617659,0.956667,2.35452,Level A,meets Level B or better constraints,2.181302
R2_1_04363,R2D_all_dielectric_highR_mediumR_scan,453,280,10,4,0.722,none,452.86,4.053343,0.0,6.0,0.0,1.492226,0.60984,0.419585,0.5746,0.666271,0.962193,2.446913,Level A,meets Level B or better constraints,2.180612
R2_1_02261,R2B_Khaidarov_hybrid_scaled_control,453,280,12,4,0.722,TiO2_25nm,453.185,4.075965,0.0,7.0,0.0,1.530895,0.652702,0.400211,0.56461,0.668115,0.962429,2.345473,Level A,meets Level B or better constraints,2.180589
R2_1_04673,R2D_all_dielectric_highR_mediumR_scan,453,310,12,4,0.722,TiO2_25nm,453.085,4.017483,1.0,5.0,1.0,1.47471,0.610557,0.466572,0.556075,0.623873,0.957372,2.415352,Level A,meets Level B or better constraints,2.180363
R2_1_04607,R2D_all_dielectric_highR_mediumR_scan,453,290,12,2,0.4727,none,453.48,4.360571,0.0,6.0,0.0,1.48279,0.559492,0.459435,0.589351,0.662468,0.961747,2.650242,Level A,meets Level B or better constraints,2.178088
R2_1_02129,R2B_Khaidarov_hybrid_scaled_control,453,250,12,0,0.12,TiO2_25nm,452.525,5.049393,0.0,9.0,0.0,1.539834,0.585988,0.376646,0.572788,0.723503,0.969156,2.627757,Level A,meets Level B or better constraints,2.17618
R2_1_02191,R2B_Khaidarov_hybrid_scaled_control,453,250,12,2,0.4727,none,453.28,4.429555,0.0,8.0,0.0,1.531101,0.618359,0.39019,0.57045,0.69425,0.965518,2.476071,Level A,meets Level B or better constraints,2.175842
R2_1_02257,R2B_Khaidarov_hybrid_scaled_control,453,270,12,4,0.722,TiO2_25nm,452.885,4.075965,0.0,7.0,0.0,1.525748,0.654894,0.40099,0.562798,0.665203,0.962096,2.329763,Level A,meets Level B or better constraints,2.175102
