scan_stage,topology,seed_candidate,N_GaN,N_Air,H_nm,L_nm,C_nm,M,termination_code,layer_sequence,sequence_hash,predicted_unique_geometry_count,method,wavelength_scope,angle_scope,tolerance_required,purpose,priority
P1_asymmetric_mirror,Explicit,EX_N3_L79_H45_C156,1,5,45,79,156,,canonical_orientation,"[""L79"",""H45"",""C156"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",412500f0a5e31efe,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,Explicit,EX_N3_L79_H45_C156,2,4,45,79,156,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""C156"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",f04f30d300ca1aab,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C156"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",39fdbee157927838,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,Explicit,EX_N3_L79_H45_C156,4,2,45,79,156,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C156"",""H45"",""L79"",""H45"",""L79""]",aba68d141eb6fdcc,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,Explicit,EX_N3_L79_H45_C156,5,1,45,79,156,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C156"",""H45"",""L79""]",bb0686f1e7a9d67c,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L78_H46,1,5,46,78,,3,canonical_orientation,"[""H46"",""L312"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78""]",1ac771b2136192f2,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L78_H46,2,4,46,78,,3,canonical_orientation,"[""H46"",""L78"",""H46"",""L312"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78""]",5498c6af2b58c451,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L78_H46,3,3,46,78,,3,canonical_orientation,"[""H46"",""L78"",""H46"",""L78"",""H46"",""L312"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78""]",017a1c0029331060,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L78_H46,4,2,46,78,,3,canonical_orientation,"[""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L312"",""H46"",""L78"",""H46"",""L78""]",d34976e26bcd5096,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L78_H46,5,1,46,78,,3,canonical_orientation,"[""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L312"",""H46"",""L78""]",dcc5528a98a795f4,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L79_H44,1,5,44,79,,3,canonical_orientation,"[""H44"",""L316"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79""]",62d289a55f22c22e,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L79_H44,2,4,44,79,,3,canonical_orientation,"[""H44"",""L79"",""H44"",""L316"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79""]",99e6509b742437b2,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
