schema_version,candidate_id,route,manifest_order,anchor_candidate_id,projectorization_pass,absolute_target_bin_pass,primary_relative_target_pass,primary_relative_phase_delta_deg,primary_relative_target_signed_deg,primary_relative_target_error_deg,primary_flat_projectorization_seed,mechanism_classification,audited_classification,quality_status,source_stage,evidence_tier,source_schema_version,v1_13_source_row_provenance,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J1M05,D0_60,1,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,True,False,-76.48453578530332,-60.0,16.484535785303308,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:1,projectorization_route_outcomes_v1_13.csv,1
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J2LP05,D0_60,2,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,True,True,-56.79681976296952,-60.0,3.2031802370304945,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:2,projectorization_route_outcomes_v1_13.csv,2
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J2WP05,D0_60,3,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,True,True,-58.14195178904926,-60.0,1.8580482109507557,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:3,projectorization_route_outcomes_v1_13.csv,3
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_GP05,D0_60,4,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,True,True,-64.9706525256011,-60.0,4.9706525256011105,False,HIGH_RANK_RESPONSE_RETAINED,HIGH_RANK_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:4,projectorization_route_outcomes_v1_13.csv,4
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J1P05_GP05,D0_60,5,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,False,True,-53.43062220148187,-60.0,6.569377798518133,False,HIGH_RANK_RESPONSE_RETAINED,HIGH_RANK_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:5,projectorization_route_outcomes_v1_13.csv,5
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J1M05,D0_0,6,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,False,True,True,-120.13569009416756,-120.0,0.13569009416755762,False,HIGH_RANK_RESPONSE_RETAINED,HIGH_RANK_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:6,projectorization_route_outcomes_v1_13.csv,6
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J2LM05,D0_0,7,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,False,True,True,-120.42780026446292,-120.0,0.42780026446291686,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:7,projectorization_route_outcomes_v1_13.csv,7
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J2WM05,D0_0,8,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,False,True,True,-118.91461895270021,-120.0,1.0853810472997907,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:8,projectorization_route_outcomes_v1_13.csv,8
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_GP05,D0_0,9,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,False,False,True,-114.97119162042668,-120.0,5.02880837957332,False,HIGH_RANK_RESPONSE_RETAINED,HIGH_RANK_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:9,projectorization_route_outcomes_v1_13.csv,9
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J2LP05_J2WM05,D0_0,10,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,False,False,True,-111.49058083731092,-120.0,8.509419162689085,False,WRONG_AXIS_TRANSITION,WRONG_AXIS_RESPONSE,PASS,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_FULL_DIMER_450,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/projectorization_route_outcomes_v1_12.csv:10,projectorization_route_outcomes_v1_13.csv,10
